Champ longitudinal: Fichier, Bl, erreur, Paramètres de Stokes V: min(x,y), min(x,y)
861586 	273 	46 	0.00349 	-32.02 	-0.00322 	3.36
1609695 	-19 	0 	0.00226 	18.79 	-0.00180 	11.33
808373 	387 	71 	0.00235 	-30.62 	-0.00325 	26.78
1671036 	60 	1 	0.00094 	59.27 	-0.00076 	65.17
1769811 	-12 	0 	0.00069 	0.29 	-0.00084 	5.47
946340 	38 	1 	0.00105 	-30.17 	-0.00044 	-24.67
1774117 	-13 	0 	0.00138 	48.81 	-0.00121 	42.99
1051386 	-1067 	219 	0.00685 	86.66 	-0.00624 	49.59
1075683 	-352 	62 	0.00504 	44.13 	-0.00219 	1.65
1096234 	-140 	10 	0.00120 	-21.90 	-0.00110 	68.36
861417 	162 	30 	0.00287 	-9.52 	-0.00266 	23.49
966150 	-192 	23 	0.00373 	30.78 	-0.00399 	3.68
1059951 	-6 	1 	0.00354 	5.38 	-0.00278 	-12.85
861859 	322 	12 	0.00315 	-13.97 	-0.00216 	15.64
966289 	155 	17 	0.00284 	3.25 	-0.00414 	25.07
803342 	16 	0 	0.00054 	57.76 	-0.00066 	62.54
1737545 	0 	0 	0.00062 	3.80 	-0.00055 	-1.52
897503 	-1368 	250 	0.01011 	82.94 	-0.01016 	56.41
1632132 	124 	7 	0.00372 	0.11 	-0.00415 	12.63
808625 	137 	23 	0.00242 	-12.21 	-0.00192 	22.95
808349 	177 	31 	0.00579 	-25.33 	-0.00440 	-14.27
1653215 	-125 	6 	0.00386 	20.13 	-0.00308 	-13.96
1739068 	59 	0 	0.00123 	-30.83 	-0.00059 	-21.75
808593 	518 	90 	0.00322 	-1.11 	-0.00391 	30.77
803286 	13 	0 	0.00535 	-5.64 	-0.00236 	5.03
1769465 	-73 	0 	0.00053 	51.58 	-0.00012 	57.67
1685447 	-122 	6 	0.00196 	21.13 	-0.00225 	-3.86
803378 	-28 	0 	0.00306 	-2.99 	-0.00192 	-14.47
861265 	351 	51 	0.00366 	-12.52 	-0.00292 	14.75
1701810 	-115 	2 	0.00210 	-18.36 	-0.00213 	-28.77
861863 	249 	36 	0.00274 	-18.02 	-0.00319 	16.22
1523649 	-1 	0 	0.00003 	29.02 	-0.00005 	24.94
1172048 	300 	14 	0.00828 	7.61 	-0.00797 	17.18
1524366 	308 	6 	0.00673 	6.79 	-0.00551 	18.62
1096599 	-52 	3 	0.00153 	-48.77 	-0.00140 	-95.56
1756216 	50 	0 	0.00094 	-87.11 	-0.00055 	-81.08
979109 	-12 	1 	0.00228 	1.95 	-0.00216 	5.34
1648228 	-40 	0 	0.00239 	11.29 	-0.00220 	3.48
1095179 	-696 	142 	0.00701 	42.70 	-0.01351 	37.89
808901 	344 	60 	0.00201 	-36.10 	-0.00316 	30.34
1516173 	18 	1 	0.00080 	-26.20 	-0.00062 	20.34
1656312 	-153 	7 	0.00406 	15.06 	-0.00330 	6.50
965918 	-383 	15 	0.01170 	-6.98 	-0.00798 	-17.40
898122 	-754 	153 	0.00857 	83.25 	-0.00912 	53.99
